2025-06-17 23:26:50,416 - INFO - Starting parallel data processing from directory: C:\Users\User\Projects\talbot\data\gm_games
2025-06-17 23:26:50,416 - INFO - Saving EACH processed PGN file to its own HDF5 file in: C:\Users\User\Projects\talbot\training\supervised\v3_pol_mvplayed_val_sfeval_more_games\data\processed_pgn_h5
2025-06-17 23:26:50,416 - INFO - Using 8 parallel workers.
2025-06-17 23:26:50,419 - INFO - Found 168 PGN files to process.
2025-06-18 06:40:41,969 - INFO - Processed Jobava.pgn. Output: Jobava.h5, Moves: 389720. Total moves so far: 13802734
2025-06-18 06:42:24,279 - INFO - Processed Inarkiev.pgn. Output: Inarkiev.h5, Moves: 204594. Total moves so far: 14007328
2025-06-18 06:49:00,198 - INFO - Processed Huebner.pgn. Output: Huebner.h5, Moves: 166613. Total moves so far: 14173941
2025-06-18 06:54:59,579 - INFO - Processed Gunsberg.pgn. Output: Gunsberg.h5, Moves: 25936. Total moves so far: 14199877
2025-06-18 07:01:17,860 - INFO - Processed Hou.pgn. Output: Hou.h5, Moves: 218833. Total moves so far: 14418710
2025-06-18 07:18:09,803 - INFO - Processed Hort.pgn. Output: Hort.h5, Moves: 223953. Total moves so far: 14642663
2025-06-18 07:19:01,428 - INFO - Processed Kamsky.pgn. Output: Kamsky.h5, Moves: 650121. Total moves so far: 15292784
2025-06-18 07:21:15,609 - INFO - Processed Ivanchuk.pgn. Output: Ivanchuk.h5, Moves: 410413. Total moves so far: 15703197
2025-06-18 07:26:25,165 - INFO - Processed Gulko.pgn. Output: Gulko.h5, Moves: 138513. Total moves so far: 15841710
2025-06-18 07:27:56,757 - INFO - Processed Harikrishna.pgn. Output: Harikrishna.h5, Moves: 262971. Total moves so far: 16104681
2025-06-18 07:29:51,152 - INFO - Processed GurevichM.pgn. Output: GurevichM.h5, Moves: 213907. Total moves so far: 16318588
2025-06-18 07:42:22,956 - INFO - Processed Goldin.pgn. Output: Goldin.h5, Moves: 91828. Total moves so far: 16410416
2025-06-18 07:43:51,931 - INFO - Processed Gukesh.pgn. Output: Gukesh.h5, Moves: 184866. Total moves so far: 16595282
2025-06-18 07:55:30,953 - INFO - Processed GrandaZuniga.pgn. Output: GrandaZuniga.h5, Moves: 158557. Total moves so far: 16753839
2025-06-18 07:59:10,927 - INFO - Processed GurevichD.pgn. Output: GurevichD.h5, Moves: 336817. Total moves so far: 17090656
2025-06-18 08:14:28,586 - INFO - Processed Gashimov.pgn. Output: Gashimov.h5, Moves: 81422. Total moves so far: 17172078
2025-06-18 08:18:54,381 - INFO - Processed Gligoric.pgn. Output: Gligoric.h5, Moves: 225488. Total moves so far: 17397566
2025-06-18 08:19:34,781 - INFO - Processed Geller.pgn. Output: Geller.h5, Moves: 161507. Total moves so far: 17559073
2025-06-18 08:24:11,004 - INFO - Processed Gaprindashvili.pgn. Output: Gaprindashvili.h5, Moves: 105338. Total moves so far: 17664411
2025-06-18 08:31:56,300 - INFO - Processed Flohr.pgn. Output: Flohr.h5, Moves: 74986. Total moves so far: 17739397
2025-06-18 08:34:15,873 - INFO - Processed Georgiev.pgn. Output: Georgiev.h5, Moves: 280807. Total moves so far: 18020204
2025-06-18 08:35:09,619 - INFO - Processed Fischer.pgn. Output: Fischer.h5, Moves: 67340. Total moves so far: 18087544
2025-06-18 08:39:46,157 - INFO - Processed Fine.pgn. Output: Fine.h5, Moves: 23792. Total moves so far: 18111336
2025-06-18 08:45:29,262 - INFO - Processed Fishbein.pgn. Output: Fishbein.h5, Moves: 116309. Total moves so far: 18227645
2025-06-18 08:52:10,847 - INFO - Processed Evans.pgn. Output: Evans.h5, Moves: 54631. Total moves so far: 18282276
2025-06-18 08:52:21,067 - INFO - Processed Giri.pgn. Output: Giri.h5, Moves: 369239. Total moves so far: 18651515
2025-06-18 08:52:53,257 - INFO - Processed Finegold.pgn. Output: Finegold.h5, Moves: 92097. Total moves so far: 18743612
2025-06-18 08:58:26,905 - INFO - Processed Fedorowicz.pgn. Output: Fedorowicz.h5, Moves: 102599. Total moves so far: 18846211
2025-06-18 09:01:45,317 - INFO - Processed Gelfand.pgn. Output: Gelfand.h5, Moves: 340608. Total moves so far: 19186819
2025-06-18 09:05:10,378 - INFO - Processed Euwe.pgn. Output: Euwe.h5, Moves: 85497. Total moves so far: 19272316
2025-06-18 09:06:01,633 - INFO - Processed Dzindzichashvili.pgn. Output: Dzindzichashvili.h5, Moves: 57155. Total moves so far: 19329471
2025-06-18 09:20:14,798 - INFO - Processed Grischuk.pgn. Output: Grischuk.h5, Moves: 526573. Total moves so far: 19856044
2025-06-18 09:27:36,550 - INFO - Processed Denker.pgn. Output: Denker.h5, Moves: 32440. Total moves so far: 19888484
2025-06-18 09:29:30,817 - INFO - Processed DeLaBourdonnais.pgn. Output: DeLaBourdonnais.h5, Moves: 8204. Total moves so far: 19896688
2025-06-18 09:48:56,137 - INFO - Processed Ding.pgn. Output: Ding.h5, Moves: 188809. Total moves so far: 20085497
2025-06-18 09:51:47,389 - INFO - Processed Ehlvest.pgn. Output: Ehlvest.h5, Moves: 258597. Total moves so far: 20344094
2025-06-18 09:55:47,736 - INFO - Processed Firouzja.pgn. Output: Firouzja.h5, Moves: 401358. Total moves so far: 20745452
2025-06-18 10:00:40,477 - INFO - Processed DeFirmian.pgn. Output: DeFirmian.h5, Moves: 137203. Total moves so far: 20882655
2025-06-18 10:02:06,170 - INFO - Processed DominguezPerez.pgn. Output: DominguezPerez.h5, Moves: 250165. Total moves so far: 21132820
2025-06-18 10:04:33,614 - INFO - Processed Erigaisi.pgn. Output: Erigaisi.h5, Moves: 314526. Total moves so far: 21447346
2025-06-18 10:05:36,993 - INFO - Processed Chigorin.pgn. Output: Chigorin.h5, Moves: 60144. Total moves so far: 21507490
2025-06-18 10:15:25,794 - INFO - Processed Capablanca.pgn. Output: Capablanca.h5, Moves: 46577. Total moves so far: 21554067
2025-06-18 10:18:44,054 - INFO - Processed Chiburdanidze.pgn. Output: Chiburdanidze.h5, Moves: 99709. Total moves so far: 21653776
2025-06-18 10:21:31,243 - INFO - Processed Christiansen.pgn. Output: Christiansen.h5, Moves: 141309. Total moves so far: 21795085
2025-06-18 10:22:31,305 - INFO - Processed Byrne.pgn. Output: Byrne.h5, Moves: 73365. Total moves so far: 21868450
2025-06-18 10:24:46,829 - INFO - Processed Duda.pgn. Output: Duda.h5, Moves: 374674. Total moves so far: 22243124
2025-06-18 10:25:12,672 - INFO - Processed Dreev.pgn. Output: Dreev.h5, Moves: 362388. Total moves so far: 22605512
2025-06-18 10:27:53,408 - INFO - Processed Breyer.pgn. Output: Breyer.h5, Moves: 13599. Total moves so far: 22619111
2025-06-18 10:31:07,543 - INFO - Processed Bruzon.pgn. Output: Bruzon.h5, Moves: 54150. Total moves so far: 22673261
2025-06-18 10:39:26,072 - INFO - Processed Boleslavsky.pgn. Output: Boleslavsky.h5, Moves: 50324. Total moves so far: 22723585
2025-06-18 10:42:11,877 - INFO - Processed Botvinnik.pgn. Output: Botvinnik.h5, Moves: 74711. Total moves so far: 22798296
2025-06-18 10:50:52,573 - INFO - Processed Bogoljubow.pgn. Output: Bogoljubow.h5, Moves: 85851. Total moves so far: 22884147
2025-06-18 10:51:10,602 - INFO - Processed Browne.pgn. Output: Browne.h5, Moves: 130335. Total moves so far: 23014482
2025-06-18 10:55:30,611 - INFO - Processed Bronstein.pgn. Output: Bronstein.h5, Moves: 145190. Total moves so far: 23159672
2025-06-18 10:56:15,736 - INFO - Processed Bu.pgn. Output: Bu.h5, Moves: 177595. Total moves so far: 23337267
2025-06-18 10:56:32,117 - INFO - Processed Blackburne.pgn. Output: Blackburne.h5, Moves: 62161. Total moves so far: 23399428
2025-06-18 10:57:18,489 - INFO - Processed Berliner.pgn. Output: Berliner.h5, Moves: 4536. Total moves so far: 23403964
2025-06-18 10:58:17,097 - INFO - Processed Bird.pgn. Output: Bird.h5, Moves: 30835. Total moves so far: 23434799
2025-06-18 11:00:57,545 - INFO - Processed Bernstein.pgn. Output: Bernstein.h5, Moves: 23617. Total moves so far: 23458416
2025-06-18 11:11:08,607 - INFO - Processed Bisguier.pgn. Output: Bisguier.h5, Moves: 89040. Total moves so far: 23547456
2025-06-18 11:17:16,467 - INFO - Processed Blatny.pgn. Output: Blatny.h5, Moves: 165985. Total moves so far: 23713441
2025-06-18 11:19:00,108 - INFO - Processed Benko.pgn. Output: Benko.h5, Moves: 98980. Total moves so far: 23812421
2025-06-18 11:23:09,430 - INFO - Processed BecerraRivero.pgn. Output: BecerraRivero.h5, Moves: 97445. Total moves so far: 23909866
2025-06-18 11:31:40,606 - INFO - Processed Benjamin.pgn. Output: Benjamin.h5, Moves: 149133. Total moves so far: 24058999
2025-06-18 11:39:16,826 - INFO - Processed Ashley.pgn. Output: Ashley.h5, Moves: 33050. Total moves so far: 24092049
2025-06-18 11:39:34,260 - INFO - Processed Averbakh.pgn. Output: Averbakh.h5, Moves: 71523. Total moves so far: 24163572
2025-06-18 11:43:51,510 - INFO - Processed Azmaiparashvili.pgn. Output: Azmaiparashvili.h5, Moves: 108032. Total moves so far: 24271604
2025-06-18 11:48:03,616 - INFO - Processed Bareev.pgn. Output: Bareev.h5, Moves: 160585. Total moves so far: 24432189
2025-06-18 11:55:09,026 - INFO - Processed Anderssen.pgn. Output: Anderssen.h5, Moves: 49499. Total moves so far: 24481688
2025-06-18 11:59:19,071 - INFO - Processed Caruana.pgn. Output: Caruana.h5, Moves: 515355. Total moves so far: 24997043
2025-06-18 12:02:52,395 - INFO - Processed Beliavsky.pgn. Output: Beliavsky.h5, Moves: 282380. Total moves so far: 25279423
2025-06-18 12:22:44,283 - INFO - Processed Carlsen.pgn. Output: Carlsen.h5, Moves: 611402. Total moves so far: 25890825
2025-06-18 12:32:48,966 - INFO - Processed Almasi.pgn. Output: Almasi.h5, Moves: 164093. Total moves so far: 26054918
2025-06-18 12:33:24,302 - INFO - Processed Alekhine.pgn. Output: Alekhine.h5, Moves: 132637. Total moves so far: 26187555
2025-06-18 12:37:37,001 - INFO - Processed Alburt.pgn. Output: Alburt.h5, Moves: 65623. Total moves so far: 26253178
2025-06-18 12:49:49,468 - INFO - Processed Bacrot.pgn. Output: Bacrot.h5, Moves: 402343. Total moves so far: 26655521
2025-06-18 12:56:56,720 - INFO - Processed Alekseev.pgn. Output: Alekseev.h5, Moves: 253187. Total moves so far: 26908708
2025-06-18 13:04:29,661 - INFO - Processed Anand.pgn. Output: Anand.h5, Moves: 338998. Total moves so far: 27247706
2025-06-18 13:08:42,815 - INFO - Processed Akopian.pgn. Output: Akopian.h5, Moves: 162359. Total moves so far: 27410065
2025-06-18 13:09:15,083 - INFO - Processed Akobian.pgn. Output: Akobian.h5, Moves: 161964. Total moves so far: 27572029
2025-06-18 13:22:34,873 - INFO - Processed Aronian.pgn. Output: Aronian.h5, Moves: 463800. Total moves so far: 28035829
2025-06-18 13:39:56,911 - INFO - Processed Andreikin.pgn. Output: Andreikin.h5, Moves: 557592. Total moves so far: 28593421
2025-06-18 13:40:35,394 - INFO - Processed Adams.pgn. Output: Adams.h5, Moves: 305367. Total moves so far: 28898788
2025-06-18 13:46:50,833 - INFO - Processed Abdusattorov.pgn. Output: Abdusattorov.h5, Moves: 286733. Total moves so far: 29185521
2025-06-18 13:46:51,579 - INFO - Parallel data processing complete!
2025-06-18 13:46:51,579 - INFO - Total individual HDF5 files created: 168
2025-06-18 13:46:51,580 - INFO - Overall total moves processed: 29185521
2025-06-18 13:46:51,580 - INFO - Individual HDF5 files are located in: C:\Users\User\Projects\talbot\training\supervised\v3_pol_mvplayed_val_sfeval_more_games\data\processed_pgn_h5
2025-06-18 13:46:51,580 - INFO - You can now combine these files later using a separate script.
